id,is_iceberg
5941774d,0.0011219815351068974
4023181e,0.9976785778999329
b20200e4,6.835311483488482e-11
e7f018bb,0.9999719858169556
4371c8c3,0.05199892818927765
a8d9b1fd,2.149835864884153e-09
29e7727e,0.008901026099920273
92a51ffb,0.9999960660934448
c769ac97,1.7526305406967424e-10
aee0547d,3.2743726172229887e-16
565b28ac,8.206032165430397e-23
e04e9775,0.9954656958580017
8e8161d1,1.9193796774175098e-08
4cf4d256,5.1217830332461745e-05
139e5324,1.9876662165144166e-13
f156976f,1.3531369404518045e-05
68a117cc,1.9983691784686286e-11
d9aa7a56,0.0743645578622818
9005b143,0.07563551515340805
5f6d3988,0.9654930233955383
9ad70954,2.1739370286572024e-13
b9087b9e,0.4253780245780945
a39a1427,0.8551551699638367
82fbe8ed,0.06315317749977112
1fae4879,1.4837564595796645e-30
6dd8f13d,6.50165060275965e-28
bbad5958,0.0012574165593832731
54527583,2.3936968318594154e-07
be8fa29c,1.73883805132391e-07
81a3328f,0.9999986886978149
1a3c0ab3,1.4908750622932843e-10
4deeeb8b,3.0175498977769166e-05
ac6d5632,0.055665042251348495
472dadb5,8.083356078714132e-05
96093f95,0.7514505386352539
f5b4e3df,0.43085139989852905
e01a3c92,1.1404279603999257e-10
001680af,0.010145743377506733
8e639f33,0.011325366795063019
a2c16612,0.9757537841796875
a6d76474,0.0
19c47684,0.023488454520702362
015827b6,0.9170540571212769
7df7f7ce,0.0012080513406544924
0bbf1a3f,0.1784444898366928
636cfbb7,0.8259351849555969
7370030a,0.9992234706878662
43aa97ad,0.0
ba2b5e63,0.9999998807907104
dfdd335b,0.9999415874481201
e79b13dc,4.979997356713284e-07
dc32b195,0.00032871082657948136
6d868590,0.9999405145645142
75fa59aa,4.952418906968302e-23
ffe50836,0.06692124903202057
a7bfd784,0.9999717473983765
b3d569e3,0.00026948071899823844
6c538c5b,0.02149522490799427
5c7c15f4,1.0
0b745139,0.9371923208236694
fd14608e,0.011942206881940365
f0bc8305,0.01680254377424717
a10ccb28,0.9999736547470093
543304c7,0.9117169380187988
6c3a4078,2.797676084759304e-31
9b73cc75,0.00016972425510175526
5c6c71b1,0.006663995794951916
09ee9186,0.9990662932395935
207c35cf,2.073375753752771e-06
153c813e,0.9996445178985596
5605d58b,0.9523126482963562
642ca396,3.543181946952245e-06
d32d72c0,0.5428695678710938
16646a17,0.9920084476470947
384074af,0.5667312741279602
69bf1e8c,2.1483449685888445e-08
9e90a054,0.0027974476106464863
89dbe7f7,0.9999990463256836
dbd27d22,0.548368513584137
a2ea1561,0.9747090339660645
d63402af,0.5703322291374207
1ac8bb92,1.0
8beffca5,3.847319021588191e-06
46741f3e,0.0914812907576561
e5ee6aa7,1.4222878235159442e-05
5ecd892b,0.9087328910827637
69892166,0.0004345586057752371
2f725a81,0.010915802791714668
810abfe4,6.519415226492282e-26
e6f973e6,0.34029504656791687
c60a5c46,2.5366164724260898e-09
c42b9e08,0.002117930445820093
c3f00c23,1.0
5307fdb8,0.9991928935050964
3e4f005e,0.001302439020946622
4a4cc2e0,0.9790945649147034
9bdd88d1,4.207700539989728e-15
0d832bed,1.4007524384851422e-07
14a134fa,1.7336598871451864e-17
78a41676,1.7981276540946018e-23
0bd4658e,5.19790717135038e-07
4a311bb0,0.0017857287311926484
f939c817,0.0665992796421051
956adc4d,0.9999998807907104
f8a119f5,0.7570724487304688
61faa1ad,0.9819779992103577
6725eb3e,0.09861588478088379
17b3a8fd,4.7997525620303855e-17
49a88dfc,5.5643579750363353e-14
2d6ec645,2.594415526857574e-08
0d4d77ba,0.01585940644145012
3ee672a2,0.9999997615814209
738b41fd,0.4200334846973419
f7fb320d,0.2397388219833374
b42fad18,4.4097783757912623e-10
4ab8b00a,0.6553115844726562
f7870f2b,0.20101298391819
4978666a,0.04520484805107117
f1b0d6c7,1.2188917492894438e-20
5642407f,0.0616343729197979
36d4ff92,0.9989030361175537
4139aba2,0.8661868572235107
7585ce58,2.9734803774772445e-07
33e25984,0.999998927116394
ac46f3c9,6.770738483763417e-13
fc34a5b8,0.7796973586082458
85c36a8f,0.12215296924114227
b2d8a426,0.02519969455897808
13ec60d1,0.9724843502044678
